,normal,metabolite,raw_pvalue(A0_A90),pvalue(A0_A90),significance(A0_A90),rf_importance,pca_value_total,pca_value_ptlist2,pca_value_ptlist1,raw_pvalue(A0_A90_combined),pvalue(A0_A90_combined),significance(A0_A90_combined)
Taurine,,Taurine,0.820892333984375,0.9020270414130632,0,0,,0.09710973631361945,0.09146781795117502,0.820892333984375,0.8518694031913325,0
Putrescine,,Putrescine,0.781951904296875,0.8902946380247553,0,0,,0.14831599052099562,0.07493739637029231,,,
trans-Hydroxyproline,,trans-Hydroxyproline,0.14385986328125,0.2614376361553486,0,0,,0.12107312457623706,0.026271408012896257,,,
Leucine,,Leucine,0.596588134765625,0.7517010498046875,0,0,,0.10268713315611844,0.09280326346008495,0.596588134765625,0.7630778467932412,0
Isoleucine,,Isoleucine,0.129730224609375,0.24519012451171876,0,0,,0.10117672553011252,0.06876025103467408,,,
Asparagine,,Asparagine,0.433197021484375,0.5976221683251597,0,0,,0.1357849305627623,0.1595245084058321,0.433197021484375,0.6109188764523237,0
Aspartic acid,,Aspartic acid,0.065399169921875,0.14714813232421875,0,0,,0.10056092714521576,0.07378681844878823,,,
Glutamine,,Glutamine,0.065399169921875,0.14714813232421875,0,0,,0.10501774727887732,0.14976257828586886,0.065399169921875,0.11989847819010417,0
Glutamic acid,,Glutamic acid,0.322509765625,0.46887958233173077,0,0,,0.04527634328972068,0.03889024071264765,,,
Methionine,,Methionine,0.001312255859375,0.005767822265625,1,0.12987775336712049,0.2263189128437883,0.10469508847305539,0.14846422226834147,0.001312255859375,0.0037986353824013158,1
Histidine,,Histidine,0.322509765625,0.46887958233173077,0,0,,0.0747268984733005,0.14486478408706824,,,
alpha-Aminoadipic acid,,alpha-Aminoadipic acid,0.2978515625,0.4432594119094488,0,0,,0.11193374990997768,0.07825296927657294,,,
Phenylalanine,,Phenylalanine,0.19281005859375,0.3196587813527961,0,0,,0.14197105628351286,0.13765255816733768,0.19281005859375,0.3029872349330357,0
Methionine-sulfoxide,,Methionine-sulfoxide,0.013092041015625,0.03866243362426758,1,0.12487197232302119,0.11981038352586851,0.07654810886348971,0.05298086790609994,,,
Arginine,,Arginine,0.1590576171875,0.2757971527379587,0,0,,0.04326989206956047,0.17701572490575848,,,
Acetyl-ornithine,,Acetyl-ornithine,0.116668701171875,0.22500392368861608,0,0,,0.09234041139201737,0.021069520800479465,,,
Citrulline,,Citrulline,0.21142578125,0.335793887867647,0,0,,0.025755035996334576,0.14221477852409134,,,
Serotonin,,Serotonin,0.17971249487899976,0.3059969507399185,0,0,,0.13806688240747406,,,,
Tyrosine,,Tyrosine,0.005157470703125,0.01710108706825658,1,0.23941420176967723,0.15162029840975738,0.08934332351290575,0.11804494296073346,0.005157470703125,0.01233308211616848,1
Asymmetricdimethylarginine,,Asymmetricdimethylarginine,0.5618896484375,0.7127325070784396,0,0,,0.13986121077077612,0.06422430721420566,,,
Totaldimethylarginine,,Totaldimethylarginine,0.116668701171875,0.22500392368861608,0,0,,0.18600866247692707,0.1772260590566991,0.116668701171875,0.19444783528645834,0
Tryptophan,,Tryptophan,0.07829229414640984,0.16815049538263024,0,0,,0.15774151512679493,0.14053083133502467,0.07829229414640984,0.1389056831629852,0
Kynurenine,,Kynurenine,0.40374755859375,0.5610903571633732,0,0,,0.1604510691477532,0.072354669215288,,,
Ornithine,,Ornithine,0.49542236328125,0.6594001877475792,0,0,,0.08450504288335312,0.12770015377040317,,,
Lysine,,Lysine,0.528167724609375,0.6932201385498047,0,0,,0.03261886299472515,0.09746883964133757,,,
Spermidine,,Spermidine,0.104583740234375,0.21028007344996677,0,0,,0.06967154421392235,0.11518841330872281,,,
Spermine,,Spermine,0.09344482421875,0.19196817149286685,0,0,,0.04866706764827281,0.07802968296243248,,,
Sarcosine,,Sarcosine,0.14385986328125,0.2614376361553486,0,0,,0.06815814520728468,0.06846018230918492,,,
Creatine,,Creatine,0.14385986328125,0.2614376361553486,0,0,,0.10880982038746104,0.08159111822901649,,,
Betaine,,Betaine,0.231201171875,0.36113240896177684,0,0,,0.06984393759640259,0.055977405989102114,,,
